,asv sent,asv conf,fbv sent,fbv conf,web sent,web conf,wmb sent,wmb conf,kjv sent,kjv conf
Adam,Neutral (1),0.7640694765483632,Negative (3),0.7418634096781412,Positive (2),0.8199118971824646,Negative (3),0.5959981580575308,Neutral (1),0.7421032218706041
Esau,Negative (3),0.6777190566062927,Neutral (1),0.7772974488211841,Positive (2),0.710057760987963,Positive (2),0.7144109606742859,Negative (3),0.653097540140152
Esther,Neutral (1),0.7360522150993347,Positive (2),0.6639505475759506,Neutral (1),0.7683671116828918,Negative (3),0.5475507378578186,Neutral (1),0.7347123821576437
Eve,Neutral (1),0.652076051310376,Negative (3),0.7641820836326351,Negative (3),0.6828708736101786,Negative (3),0.6740915495615739,Positive (2),0.6882825952929419
Isaiah,Neutral (1),0.7222345119867569,Positive (2),0.7648471842209498,Negative (3),0.7733596563339233,Neutral (1),0.6832705950125669,Neutral (1),0.7322759194807573
Judah,Neutral (1),0.7337385042901,Positive (2),0.7177690872374702,Negative (3),0.6704624235167984,Negative (3),0.658284548572872,Neutral (1),0.7286436612685028
Lazarus,Neutral (1),0.714507269859314,Negative (3),0.6861644387245178,Negative (3),0.7583338618278503,Positive (2),0.7500520944595337,Negative (3),0.557203859090805
Miriam,Neutral (1),0.7229672571023306,Negative (3),0.7863138616085052,Positive (2),0.5654425024986267,Positive (2),0.7545263717571894,Positive (2),0.5354635119438171
Peter,Neutral (1),0.7241453583143196,Negative (3),0.6581115831028331,Positive (2),0.7090057643020854,Positive (2),0.706986927986145,Neutral (1),0.7262220587049212
Rahab,Neutral (1),0.7088601751761003,Neutral (1),0.7375613868236541,Positive (2),0.928968906402588,Negative (3),0.6446324189503988,Positive (2),0.9211128354072572
