chunk,start_citation,text,sentiment
2556,1SA.17.50,"So David prevailed over the Philistine with a sling and with a stone, and smote the Philistine, and slew him; but there was no sword in the hand of David. Then David ran, and stood over the Philistine, and took his sword, and drew it out of the sheath thereof, and slew him, and cut off his head therewith. And when the Philistines saw that their champion was dead, they fled. And the men of Israel and of Judah arose, and shouted, and pursued the Philistines, until thou comest to Gai, and to the gates of Ekron. And the wounded of the Philistines fell down by the way to Shaaraim, even unto Gath, and unto Ekron.",1
10127,JAS.1.13,"Let no man say when he is tempted, I am tempted of God; for God cannot be tempted with evil, and he himself tempteth no man: but each man is tempted, when he is drawn away by his own lust, and enticed. Then the lust, when it hath conceived, beareth sin: and the sin, when it is fullgrown, bringeth forth death.",3
9900,1TH.3.8,"for now we live, if ye stand fast in the Lord. For what thanksgiving can we render again unto God for you, for all the joy wherewith we joy for your sakes before our God; night and day praying exceedingly that we may see your face, and may perfect that which is lacking in your faith?",1
3951,2CH.30.26,"So there was great joy in Jerusalem; for since the time of Solomon the son of David king of Israel there was not the like in Jerusalem. Then the priests the Levites arose and blessed the people: and their voice was heard, and their prayer came up to his holy habitation, even unto heaven. Now when all this was finished, all Israel that were present went out to the cities of Judah, and brake in pieces the pillars, and hewed down the Asherim, and brake down the high places and the altars out of all Judah and Benjamin, in Ephraim also and Manasseh, until they had destroyed them all. Then all the children of Israel returned, every man to his possession, into their own cities.",3
3840,2CH.16.11,"And, behold, the acts of Asa, first and last, lo, they are written in the book of the kings of Judah and Israel. And in the thirty and ninth year of his reign Asa was diseased in his feet; his disease was exceeding great: yet in his disease he sought not to Jehovah, but to the physicians. And Asa slept with his fathers, and died in the one and fortieth year of his reign.",3
10207,2PE.2.19,"promising them liberty, while they themselves are bondservants of corruption; for of whom a man is overcome, of the same is he also brought into bondage. For if, after they have escaped the defilements of the world through the knowledge of the Lord and Saviour Jesus Christ, they are again entangled therein and overcome, the last state is become worse with them than the first. For it were better for them not to have known the way of righteousness, than, after knowing it, to turn back from the holy commandment delivered unto them.",1
8739,JHN.2.14,"And he found in the temple those that sold oxen and sheep and doves, and the changers of money sitting: and he made a scourge of cords, and cast all out of the temple, both the sheep and the oxen; and he poured out the changers’ money, and overthrew their tables; and to them that sold the doves he said, Take these things hence; make not my Father’s house a house of merchandise.",3
7333,DAN.5.7,"The king cried aloud to bring in the enchanters, the Chaldeans, and the soothsayers. The king spake and said to the wise men of Babylon, Whosoever shall read this writing, and show me the interpretation thereof, shall be clothed with purple, and have a chain of gold about his neck, and shall be the third ruler in the kingdom. Then came in all the king’s wise men; but they could not read the writing, nor make known to the king the interpretation. Then was king Belshazzar greatly troubled, and his countenance was changed in him, and his lords were perplexed.",1
8560,LUK.14.17,"and he sent forth his servant at supper time to say to them that were bidden, Come; for all things are now ready. And they all with one consent began to make excuse. The first said unto him, I have bought a field, and I must needs go out and see it; I pray thee have me excused. And another said, I have bought five yoke of oxen, and I go to prove them; I pray thee have me excused.",1
3354,2KI.19.1,"And it came to pass, when king Hezekiah heard it, that he rent his clothes, and covered himself with sackcloth, and went into the house of Jehovah. And he sent Eliakim, who was over the household, and Shebna the scribe, and the elders of the priests, covered with sackcloth, unto Isaiah the prophet the son of Amoz. And they said unto him, Thus saith Hezekiah, This day is a day of trouble, and of rebuke, and of contumely; for the children are come to the birth, and there is not strength to bring forth.",3
